LogicalDesignator,ManufacturerPartNumber,Manufacturer,Note,PhysicalPath,FunctionalGroupTitle,ApprovedBy,DocumentNumberE3,FirstApply,Author,Organization,NormInspection,Title,CheckedBy
"C14","HCD075471 DSCC93026-48","фирма "Evans"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C2","GRM188R72A104KA35","фирма "Murata"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C3","GRM188R72A104KA35","фирма "Murata"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C4","GRM188R61H105KAALD","фирма "Murata"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C5","383LX273M050N062","фирма Cornell Dubilier","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C6","383LX273M050N062","фирма Cornell Dubilier","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C7","GRM188R72A104KA35","фирма "Murata"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C8","383LX273M050N062","фирма Cornell Dubilier","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C9","GRM1885C1H101JA01D","фирма "Murata"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"DA1","ACS723LLCTR-40AB-T","фирма "Allegro MicroSystems"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения","Максимов"
"DA2","AD7276BUJZ","фирма "Analog Devices"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения","Максимов"
"DD2","STLM75DS2","фирма "STMicroelectronics"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"F2","Термопредохранитель ZH103-105","каталог "Чип и Дип"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"FV1","EC90X","фирма "EPCOS"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R16","RC0603FR-070RL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R17","RC0603FR-070RL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R18","RC0603JR-071KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R19","RC0603JR-071KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R20","RC1206JR-0710KL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R21","MO-200 (С2-23) 2 Вт, 33 кОм, 5%","каталог  "Чип и Дип"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R22","RC1206JR-0710KL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R23","MO-200 (С2-23) 2 Вт, 33 кОм, 5%","каталог  "Чип и Дип"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R24","RC0603JR-071KL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R25","RC0603JR-071KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R26","RC0603JR-07680RL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R27","RC0603JR-071KL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R28","RC0603JR-071KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R29","RC0603JR-071KL","фирма "Yageo"","Не уст.","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R30","RC0603JR-071KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R31","RC0603JR-0710KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R32","RC0603JR-0710KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R33","RC0603JR-0710KL","фирма "Yageo"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"RU1","B72220S0251K101","фирма "EPCOS"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"RU2","B72220S0251K101","фирма "EPCOS"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"U1","PB181S","фирма ОАО «Протон»","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"VD1","1.5KE400A","фирма "ST Microelectronics"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"VD2","1.5KE400A","фирма "ST Microelectronics"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"VD3","MBRS260T3G","фирма "ON Semiconductor"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения","Максимов"
"XP10","0026013115","фирма "Molex"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP11","0768250004","фирма "Molex"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP12","DG390-5.0-02P","фирма "Degson"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP13","DG390-5.0-02P","фирма "Degson"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"Z1","B84110A0000A060","фирма "EPCOS"","","main\A2","Схема питания","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R57","RC0603JR-0710KL","фирма "Yageo"","","main\A2\A5","Схема прогрева","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R58","Провод МГШВ-1, 30 мм","","","main\A2\A5","Схема прогрева","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"VD6","BZX84C3V0LT1G","фирма "ON Semiconductor"","","main\A2\A5","Схема прогрева","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"VT1","IRF7470TRPBF","фирма "Infineon"","","main\A2\A5","Схема прогрева","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP14","0768250004","фирма "Molex"","","main\A2\A5","Схема прогрева","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP15","0026013115","фирма "Molex"","","main\A2\A5","Схема прогрева","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C15","GRM32ER72A225KA35L","фирма "Murata"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C16","GRM32ER72A225KA35L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C17","GRM32ER72A225KA35L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C18","GRM1885C1H103JA01","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C19","GRM1885C1H103JA01","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C20","GRM188R72A104KA35","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
